,title,authors,publisher,published_date,description,ISBN13,categories,google_rating,google_ratings_count,book_cover_url,language
1701,Notebook of a Return to the Native Land,"['Aimé Césaire', 'Clayton Eshleman', 'Annette Smith']",Wesleyan University Press,2001-09-24,Césaire's masterpiece that reaches the powerful and overlooked aspects of black culture.,9780819564528,['Literary Criticism'],5.0,2,http://books.google.com/books/content?id=JzFt9S2RBakC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1702,The Return of the Native,['Thomas Hardy'],Modern Library Classics,1994,Presents Hardy's classic novel of two people caught up in their passion for each other and conflicting ambitions.,9780375757181,['Fiction'],4.5,2,http://books.google.com/books/content?id=sfVxn1EOELQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1703,Patriot Games,['Tom Clancy'],Berkley,1992,A former CIA analyst vacationing with his family in London helps thwart a terrorist attack on a member of the Royal Family and becomes the target of the terrorist whose brother he killed.,9780425134351,"['Ryan, Jack (Fictitious character)']",3.5,24,http://books.google.com/books/content?id=EIr3RONgeCsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1704,Legends,['Robert Silverberg'],Macmillan,2001-09-08,"A collection of original short novels by such acclaimed authors as Stephen King, Robert Jordan, Anne McCaffrey, Ursula K. Le Guin, Orson Scott Card, and Terry Goodkind returns each to his own special fantasy world for a new and illuminating story.",9780765300355,['Fiction'],4.0,2,http://books.google.com/books/content?id=OlWYitS0CoQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1705,Bare Bones,"['Stephen King', 'Tim Underwood']",Grand Central Pub,1989,"In a series of interviews, the acknowledged master of horror fiction reveals the creative source behind his stories, discussing his life, his career, and his philosophy on writing, and what he believes makes horror stories so popular",9780446390576,['Fiction'],4.0,1,http://books.google.com/books/content?id=9GJAPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1706,Faithful,"[""Stewart O'Nan"", 'Stephen King']",Simon and Schuster,2005-09-06,"A chronicle of the Boston Red Sox's 2004 baseball season features a running diary of observations, arguments, play analyses, and controversial management decisions, as recorded by a pair of best-selling horror writers and diehard Red Sox fans.",9780743267533,['Sports & Recreation'],3.0,9,http://books.google.com/books/content?id=KSeoqZCL_ncC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1707,The Diary of Ellen Rimbauer,['Joyce Reardon'],Hyperion,2002-05-01,"At the turn of the twentieth century, Ellen Rimbauer became the young bride of Seattle industrialist John Rimbauer, and began keeping a remarkable diary. This diary became the secret place where Ellen could confess her fears of the new marriage, her confusion over her emerging sexuality, and the nightmare that her life would become. The diary not only follows the development of a girl into womanhood, it follows the construction of the Rimbauer mansioncalled Rose Redan enormous home that would be the site of so many horrific and inexplicable tragedies in the years ahead. The Diary of Ellen Rimbauer: My Life at Rose Red is a rare document, one that gives us an unusual view of daily life among the aristocracy in the early 1900s, a window into one womans hidden emotional torment, and a record of the mysterious events at Rose Red that scandalized Seattle society at the timeevents that can only be fully understood now that the diary has come to light. Edited by Joyce Reardon, Ph.D. as part of her research, the diary is being published as preparations are being made by Dr. Reardon to enter Rose Red and fully investigate its disturbing history.",9780786890439,['Fiction'],4,20,http://books.google.com/books/content?id=yNXBwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1708,At the Mountains of Madness,['Howard Phillips Lovecraft'],"Random House Digital, Inc.",2005,"Authoritative editions of great classics of world literature feature introductions by acclaimed writers, meticulous translations of foreign literature, commentary by distinguished writers and critics, biographical notes, and a comprehensive Reading Group Guide bound into each volume.",9780812974416,['Fiction'],3,35,http://books.google.com/books/content?id=iEGwAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1709,At the Mountains of Madness,['Howard Phillips Lovecraft'],Del Rey,1991,"A quartet of horror masterpieces from the legendary master of the macabre includes the critically acclaimed title novella, as well as ""The Shunned House,"" ""The Dreams in the Witch-House,"" and ""The Statement of Randolph Carter."" Reissue.",9780345329455,['Fiction'],3.5,16,http://books.google.com/books/content?id=WI4rAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1710,"At the Mountains of Madness, and Other Novels of Terror",['Howard Phillips Lovecraft'],Voyager,2002,"The finest works of H P Lovecraft, renowned as one of the great horror writers of all time. Now part of the Voyager Classics collection. A major figure in twentieth-century supernatural fiction, H P Lovecraft produced works of enduring power. He has influenced the whole spectrum of those working in the horror genre, from Stephen King to the creators of hit TV show Buffy the Vampire Slayer. Gathered together in this volume are seven of his greatest works, including the three short novels, The Case of Charles Dexter Ward, At the Mountains of Madness and The Dream-Quest of Unknown Kadath. Timeless in their appeal, these classics of the sinister and the macabre hold the power to truly terrify.",9780007127771,"['Horror tales, American']",3.0,16,http://books.google.com/books/content?id=tCUvPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1711,The Aeneid (Zongo Classics),['Virgil'],Everyman's Library,1992,Virgil's poem about the adventures of Aeneas after the fall of Troy,9780679413356,['Poetry'],3.5,56,http://books.google.com/books/content?id=NJGJDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1712,The Iliad,['Homer'],Collector's Library,2011-09,"The Iliad is one of the finest of all the great works that have been handed down to us from Classical Antiquity. Paris, a Trojan prince, having won Helen as his prize for judging a beauty contest between the goddesses Hera, Athena, and Aphrodite, abducted her from her Greek husband Menelaus and transported her to Troy. The Greeks, enraged by this audacity and devastated by the loss of the most beautiful woman in the world, set sail to Troy and began the long siege of the city. The Iliad narrates the events ten years into the war, describing the anger of Achilles, which results in the death of Patroclus and Achilles's mourning of him and avenging of his murder. It has had a far-reaching impact on Western literature and culture, inspiring writers, artists and classical composers across the ages. Even though it was written more than two thousand years ago, The Iliad remains both powerful and enthralling.",9781904633389,['Poetry'],4.0,3,http://books.google.com/books/content?id=iJsMHciSPKAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1713,Trojan Odyssey,['Clive Cussler'],Penguin,2004,"Underwater adventurer Dirk Pitt and the NUMA crew investigate a black tide infesting the ocean off Nicaragua, a study complicated by the discovery of a mysterious artifact, a powerful storm, and a conspiracy.",9780425199329,['Fiction'],3,11,http://books.google.com/books/content?id=bQEku8FUjLwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1714,"The Comedy of Dante Alighieri, the Florentine: Purgatory",['Dante Alighieri'],Penguin,1949,"The most celebrated work of Dante is the Divine comedy--a vision of hell, purgatory and heaven that provides a strangely surrealistic view of medieval attitudes on religious dogma and the price of disobedience.",9780140440461,['Poetry'],3.5,7,http://books.google.com/books/content?id=3uhT0UFKsUIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1715,The Divine Comedy,"['Dante Alighieri', 'Charles Hubert Sisson', 'David H. Higgins']","Oxford University Press, USA",1998,"A new blank verse translation of Dante's epic, complete with an authoritative Introduction, diagrams, maps, and notes.",9780192835024,['Poetry'],4,10,http://books.google.com/books/content?id=wmacUwleJv8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1716,A Modern Reader's Guide to Dante's The Divine Comedy,['Joseph Gallagher'],Liguori Publications,1999,"The Divine Comedy has been a cornerstone of Western literature for the better part of a millennium. In this work, Joseph Gallagher brings the power and prestige of this medieval classic to a new generation of readers--taking them on a guided tour through heaven, purgatory, and hell. (Formerly titled To Hell and Back with Dante) Paperback",9780764804946,['Literary Criticism'],4.5,2,http://books.google.com/books/content?id=ewkfAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1717,The Canterbury Tales,['Geoffrey Chaucer'],Penguin USA,1977,A retelling of the medieval poem about a group of travelers on a pilgrimage to Canterbury and the tales they tell each other,9780140440225,['Poetry'],4.0,9,http://books.google.com/books/content?id=ab8tos14Ti0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1718,The Canterbury Tales,"['Geoffrey Chaucer', 'V. A. Kolve', 'Glending Olson']",W. W. Norton,2005,"This Norton Critical Edition includes the most admired of Chaucer s Canterbury Tales.""",9780393925876,['Poetry'],4.5,3,http://books.google.com/books/content?id=2BJ_QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1719,Around the World in Eighty Days,['Jules Verne'],Modern Library,2003-12-30,"Shocking his stodgy colleagues at the exclusive Reform Club, enigmatic Englishman Phileas Fogg wagers his fortune, undertaking an extraordinary and daring enterprise: to circumnavigate the globe in eighty days. With his French valet Passepartout in tow, Verne’s hero traverses the far reaches of the earth, all the while tracked by the intrepid Detective Fix, a bounty hunter certain he is on the trail of a notorious bank robber. Set from the text of George M. Towle’s original 1873 translation, this Modern Library Paperback Classic of Verne’s adventure novel comes vividly alive, brilliantly reﬂecting on time, space, and one man’s struggle to reach beyond the bounds of both science and society.",9780812968569,['Fiction'],5,1,http://books.google.com/books/content?id=wZ8rE6b_GGEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1720,Final Payments,['Mary Gordon'],Anchor,2006,"After eleven isolated years caring for her invalid father, a professor who had suffered a stroke upon discovering her in bed with a student, Isabel Moore tries to reenter the world with the help of two very different friends. Reprint. 10,000 first printing.",9780307276780,['Fiction'],2,1,http://books.google.com/books/content?id=Iuh2E5488bIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1721,Sliver of Truth,['Lisa Unger'],Crown Pub,2007,"New York writer Ridley Jones finds herself at the center of a global crime network when she picks up a few prints at a local photo lab, prints that reveal the presence of a mysterious, familiar, and supposedly dead figure with ties to her own past.",9780307338464,['Fiction'],3.5,12,http://books.google.com/books/content?id=dakZ_wOWMhUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1722,The Promise of Rest,['Reynolds Price'],Scribner,1996-11-05,"In this stunning and fully independent conclusion to A Great Circle, Reynolds Price tells the complex, moving story of a man's return home to die of AIDS and of the unexpected effect that his arrival -- and his death -- has on his family. Wade Mayfield's parents are separated, but for the remaining months of his life they and their friends come together to care for Wade with the love they can muster. They are unprepared, however, for the astonishing mystery Wade has prepared to reveal once he is gone -- a mystery that initiates the possible reunion of his parents and promises to continue the proud traditions of a complex, multiracial family.",9780684825106,['Fiction'],4.5,2,http://books.google.com/books/content?id=Y2I1lAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1723,Perfect Match,['Jodi Picoult'],Simon and Schuster,2002,"District Attorney Nina Frost and her husband, Caleb, face a nightmare when they discover that their young son Nathaniel has been molested, a trauma that has left him mute, terrified, and unable to reveal the identity of his attacker.",9780743418720,['Fiction'],4.5,7,http://books.google.com/books/content?id=pss0rZQUF08C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1724,Demon Box,['Ken Kesey'],Penguin Group USA,1987,"Exploring the author's experiences of foreign excursions, family, farm, and society, this collection of nonfictional works features the title essay on the energy of madness",9780140085303,['Fiction'],2.5,2,http://books.google.com/books/content?id=m6AsAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1725,Sailor Song,['Ken Kesey'],Penguin Group USA,1993,"In Alaska to film a famous children's book, the crew of a big-bucks Hollywood production company encounters a tribe of people who have had little contact with whites. By the author of One Flew Over the Cuckoo's Nest. Reprint.",9780140139976,['Fiction'],4,3,http://books.google.com/books/content?id=-pPSOhBxFSkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1726,The further inquiry,['Ken Kesey'],Viking Pr,1990,"The head Prankster offers hundreds of photographs and transcripts of key episodes in a re-examination of the legendary adventure of the Merry Pranksters during their 1964 trip across America in a bus called ""Further""",9780670831746,['Fiction'],3.5,2,http://books.google.com/books/content?id=lQ5aAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1727,Goodnight Moon 60th Anniversary Edition,['Margaret Wise Brown'],Harper Collins,2005-09-06,"In a great green room, tucked away in bed, is a little bunny. ""Goodnight room, goodnight moon."" And to all the familiar things in the softly lit room -- to the picture of the three little bears sitting on chairs, to the clocks and his socks, to themittens and the kittens, toeverything one by one -- the little bunny says goodnight. In this classic of children's literature, beloved by generations of readers and listeners, the quiet poetry of the words and the gentle, lulling illustrations combine to make a perfect book for the end of the day.",9780060775858,['Juvenile Fiction'],4.5,19,http://books.google.com/books/content?id=lLYOrikgtJoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1728,New Rules,['Bill Maher'],Rodale,2005-07-26,"The comedian host of Politically Incorrect draws on previously written material and the ""New Rules"" segments of his popular cable show, Real Time, to consider such topics as cell phones, fast food, and the agendas of conservative government figures. 250,000 first printing.",9781594862953,['Humor'],4.0,8,http://books.google.com/books/content?id=rIG9ciCJjHsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1729,True Story,['Bill Maher'],Simon & Schuster,2005-10-01,"True Story is Maher's debut novel about the wild and crazy life of the stand-up comedian -- a bawdy, rowdy tell-all report from the front line.",9780743291354,['Fiction'],3.5,2,http://books.google.com/books/content?id=aquWswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1730,Does Anybody Have a Problem with That?,['Bill Maher'],Ballantine Books,1997,"Brief essays from the television series offer a humorous perspective on politics, celebrities, feminism, education, beauty pageants, President Clinton, and social issues",9780345412812,['Humor'],4.0,1,http://books.google.com/books/content?id=XuWODQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1731,The Outsiders,['S. E. Hinton'],Puffin HC,2002-06-27,"The Socs's idea of having a good time is beating up Greasers like Ponyboy, the rough, tough, long-haired kids from the other side of town. Ponyboy knows what to expect and knows he can count on his friends - until the night someone goes too far.",9780141314570,['Alienation (Social psychology)'],4,319,http://books.google.com/books/content?id=LOnpPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1732,The Mantle of the Prophet,['Roy P. Mottahedeh'],Oneworld Publications Limited,2000,"A history of modern Iran focuses on the revolution and its transformation of Iranian society two decades ago, assessing the impact of fundamentalist Islam on Iran. Original.",9781851682348,['Religion'],4.0,1,http://books.google.com/books/content?id=05gQAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1733,The Greatest Generation,['Tom Brokaw'],Random House Incorporated,2005,"Presents personal narratives from the generation of Americans who were born in the 1920s, came of age during the Depression, fought in World War II, and came home to build a new America during the postwar era.",9780812975291,['History'],4,7,http://books.google.com/books/content?id=ABazuhsRXE4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1734,Maverick!,['Ricardo Semler'],Random House,2001,"Semler turned his family's business, the aging Semco corporation of Brazil, into the most revolutionary business success story of our time. By eliminating uneeded layers of management and allowing employees unprecedented democracy in the workplace, he created a company that challenged the old ways and blazed a path to success in an uncertain economy.",9780712678865,['Businesspeople'],4.5,4,http://books.google.com/books/content?id=zzm8lLrTq6sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1735,Weekend Warriors,['Fern Michaels'],Zebra Books,2004,"Angry and depressed that justice was not served for her daughter's death, Myra recruits female vigilantes to help women victimized by the legal system, beginning with a woman who was raped.",9780821775899,['Fiction'],3,10,http://books.google.com/books/content?id=u6Cq5W_v33UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1736,The Weekend Novelist,"['Robert Joseph Ray', 'Bret Norris']","Random House Digital, Inc.",2005,"Robert J. Ray and coauthor Bret Norris can help readers write a novel while holding on to a day job, with this accessible step-by-step guide to completing a novel in just a year's worth of weekends. The Weekend Novelist shows writers of all levels how to divide their writing time into weekend work sessions, and how to handle character, scene, and plot. This new, revised version is more skills-based than its predecessor, includes both classic and contemporary literature models, contains a sample ""Novel in Progress,"" and at the end offers readers the choice to rewrite their novel, draft a memoir, or turn their rough draft into a screenplay.--From publisher description.",9780823084500,['Language Arts & Disciplines'],3.5,6,http://books.google.com/books/content?id=CXmObVqAJKYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1737,The Week-End Book,['Francis Meynell'],Harry N. Abrams,2006-05-04,"Updated from its original 1924 publication, a portable collection of leisure-time activity suggestions includes such options as weather forecasting, building campfires, making paper cups, and a variety of outdoor games, in a resource that is complemented by a selection of poetic works to be read on quiet country days.",9781585678136,['Reference'],4.5,2,http://books.google.com/books/content?id=K8_OAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1738,Far from the Madding Crowd,"['Thomas Hardy', ""Tess O'Toole""]","Random House Digital, Inc.",2001,"Tells the story of Bathsheba Everdene, who must choose among three suitors in Wessex in the 1840s.",9780375757976,['Fiction'],4,1,http://books.google.com/books/content?id=92zcXiTN3CkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1739,Underworld,"['Greg Cox', 'Danny McBride']",Simon and Schuster,2003,"The centuries-long struggle between vampires and their sworn enemies, the werewolves, takes a bizarre turn in modern-day Budapest when vampire warrior Selene, a Death Dealer, finds herself drawn to Michael, an inncent American recently infected with the lupine curse. Original. (A Sony Pictures film, written by Danny McBride, releasing September 2003, starring Kate Beckinsale, Scott Speedman, Shane Brolly, Robby Gee, Erwin Leder, Wentworth Miller, Sophia Myles, Bill Nighy, & Michael Sheen) (Horror)",9780743480710,['Fiction'],3.5,7,http://books.google.com/books/content?id=d8-KkRoDIKkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1740,DREAM & THE UNDERWOR,['James Hillman'],Harper Collins,1979-07-25,"In a deepening of the thinking begun in The Myth of Analysis and Re-Visioning Psychology, James Hillman develops the first new view of dreams since Freud and Jung.",9780060906825,['Psychology'],5,1,http://books.google.com/books/content?id=-vMpuwPRVFsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1741,Blood Enemy,['Greg Cox'],Simon and Schuster,2004-12,"Once the servants of the vampires, the werewolves use their power to transform themselves into beasts of unearthly ferocity against their former masters, aristocrats with a sensual appetite for blood, in a clandestine conflict, in a prequel to the blockbuster film. Original. (Prequel to the Sony Pictures film, written by Danny McBride, starring Kate Beckinsale, Scott Speedman, Shane Brolly, Robby Gee, Erwin Leder, Wentworth Miller, Sophia Myles, Bill Nighy, & Michael Sheen) (Horror)",9780743480727,['Fiction'],5.0,2,http://books.google.com/books/content?id=AsBkvj5LUeYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1742,Queen of the Underworld,['Gail Godwin'],Ballantine Books,2007,"In 1959, as the first wave of Cuban exiles arrives in the United States, Emma Gant, finally free of her stifling family and bullying stepfather, embarks on a career as a reporter for The Miami Star and begins to thrive in the sultry world of Miami, confronting conflicting loyalties, shady dealings, and personal and professional setbacks as she pursues her goals. Reader's Guide included. Reprint. 30,000 first printing.",9780345483195,['Fiction'],2.5,5,http://books.google.com/books/content?id=tj2FDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1743,Murder in the Cathedral,['Thomas Stearns Eliot'],Houghton Mifflin Harcourt,1935,A play in verse form dramatizes the murder of Archbishop Thomas Becket by four knights of Henry II's court,9780156632775,['Drama'],3.5,15,http://books.google.com/books/content?id=lc3krClq6bEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1744,"Cathedral, Forge and Waterwheel",['Joseph Gies'],Harper Collins,1995-01-06,"An illuminating look at the monumental inventions of the Middle Ages, by the authors of Life in a Medieval Castle.",9780060925819,['History'],4.5,3,http://books.google.com/books/content?id=Rw0oTHwz264C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1745,In the Kitchen With Rosie,['Rosie Daley'],Knopf,1994,With 50 recipes and 8 pages of full-color photographs by Micheal McLaughlin.,9780679434047,['Cooking'],3.0,1,http://books.google.com/books/content?id=a8uJbQvJZIMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1746,Floating in My Mother's Palm,['Ursula Hegi'],Touchstone,1998-07-03,"Floating in My Mother's Palm is the compelling and mystical story of Hanna Malter, a young girl growing up in 1950's Burgdorf, the small German town Ursula Hegi so brilliantly brought to life in her bestselling novel Stones from the River. Hanna's courageous voice evokes her unconventional mother, who swims during thunderstorms; the illegitimate son of an American GI, who learns from Hanna about his father; and the librarian, Trudi Montag, who lets Hanna see her hometown from a dwarf's extraordinary point of view. Although Ursula Hegi wrote Floating in My Mother's Palm first, it can be read as a sequel to Stones from the River.",9780684854755,['Fiction'],4.0,13,http://books.google.com/books/content?id=tTesAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1747,Tearing the Silence,['Ursula Hegi'],Simon and Schuster,1998-07-03,Reveals the feelings of those German-born Americans who still carry the burden of shame brought on by the Holocaust,9780684846118,['Social Science'],4,1,http://books.google.com/books/content?id=XtESq3kXXkgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1748,Paint it Black,['Janet Fitch'],Little Brown,2006,"From the bestselling author of ""White Oleander"" comes a powerful story of passion, first love, and a young woman's search for a true world in the aftermath of loss.",9780316182744,['Fiction'],3.5,19,http://books.google.com/books/content?id=DD8elwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1749,The Tempest,"['William Shakespeare', 'Peter Hulme', 'William Howard Sherman']",W. W. Norton,2004,"Presents William Shakespeare's ""The Tempest"" and includes excerpts from its sources, eighteen works of criticism by writers ranging from John Dryden to Barbara Fuchs, and seventeen works based on the play by such authors as Percy Shelley and Ted Hughes.",9780393978193,['Drama'],4.0,1,http://books.google.com/books/content?id=PUpyQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1750,A Midsummer Night's Dream,['William Shakespeare'],Cengage Learning EMEA,1979-09-06,An insightful Arden edition of this enduringly popular Shakespearean comedy.,9781903436608,['Drama'],4.0,8,http://books.google.com/books/content?id=JtZxA6g2X_8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1751,Les Miserables,['Victor Hugo'],Penguin Classics,1982,"After nineteen years in prison, Jean Valjean has difficulty adjusting to the outside world, which scorns and shuns him",9780140444308,['Fiction'],4.5,6,http://books.google.com/books/content?id=X3KZKnFd7H8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1752,Romeo & Juliet,['William Shakespeare'],"Oxford University Press, USA",2005,"Oxford School Shakespeare is an acclaimed edition especially designed for students, with accessible on-page notes and explanatory illustrations, clear background information, and rigorous but accessible scholarly credentials. In this edition of Romeo and Juliet, illustrations have been extended and updated; the preliminary notes have been expanded; reading lists have been updated, and include websites; and the classroom notes have been brought in line with recent practice. Romeo and Julietis a set text for 11-14 year olds in England and remains one of the most accessible and popular of Shakespeare's plays for secondary students the world over.",9780198321491,['Juvenile Nonfiction'],4,4,http://books.google.com/books/content?id=HBuZMYzbb3IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1753,Romeo and Juliet,['William Shakespeare'],Cambridge University Press,2003-05,"The New Cambridge Shakespeare appeals to students worldwide for its up-to-date scholarship and emphasis on performance. The series features line-by-line commentaries and textual notes on the plays and poems. Introductions are regularly refreshed with accounts of new critical, stage and screen interpretations. This second edition of Romeo and Juliet retains the text prepared by G. Blakemore Evans, together with his introduction and detailed textual notes. A thorough stage history features illustrations and photographs of notable performances from the eighteenth century onwards while a lucid commentary alerts the reader to the difficulties of language, thought and staging. For this second edition, Thomas Moisan has added a new introductory section which focuses on recent scholarly criticism and contemporary productions of the play. The reading list has also been revised and updated.",9780521532532,['Drama'],5.0,1,http://books.google.com/books/content?id=aVZxkiTo38oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1754,"South of the border, west of the sun : a novel",['Haruki Murakami'],Vintage Books,2000,"Years after their separation, two Japanese childhood sweethearts are reunited, and happily married Hajime finds himself prepared to risk everything for the chance to be with his now mysterious first love Shinamoto. Reprint. 20,000 first printing.",9780679767398,['Fiction'],4.0,29,http://books.google.com/books/content?id=m96JDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1755,The Clock Of The Long Now,['Stewart Brand'],Basic Books,2000-04-06,"Using the designing and building of the Clock of the Long Now as a framework, this is a book about the practical use of long time perspective: how to get it, how to use it, how to keep it in and out of sight. Here are the central questions it inspires: How do we make long-term thinking automatic and common instead of difficult and rare? Discipline in thought allows freedom. One needs the space and reliability to predict continuity to have the confidence not to be afraid of revolutions Taking the time to think of the future is more essential now than ever, as culture accelerates beyond its ability to be measured Probable things are vastly outnumbered by countless near-impossible eventualities. Reality is statistically forced to be extraordinary; fiction is not allowed this freedom This is a potent book that combines the chronicling of fantastic technology with equally visionary philosophical inquiry.",9780465007806,['Philosophy'],4.0,5,http://books.google.com/books/content?id=9Q18tAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1756,How to Win Friends and Influence People,['Dale Carnegie'],Random House Business Books,1990-12-31,"Dale Carnegie aims to show how to makes friends, increase your prestige, break out of the vicious circle of worry and generally get the better of life, using a series of simple and practical rules, techniques and attitudes.",9780749307844,['Conduct of life'],4,3664,http://books.google.com/books/content?id=aO7CQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1757,Naked Economics: Undressing the Dismal Science,['Charles Wheelan'],W. W. Norton & Company,2003-09-17,"Seeks to provide a genuinely engaging and comprehensive primer to economics that explains key concepts without technical jargon and using common-sense examples. Reprint. 20,000 first printing.",9780393324860,['Business & Economics'],3.5,12,http://books.google.com/books/content?id=-Tu1GRCYdHcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1758,The Naked Warrior,['Pavel Tsatsouline'],Dragon Door Publication,2004,"Have you noticed-the greater a man's skill, the more he achieves with less? And the skill of strength is no exception. From the ancient days of Greek wrestling, to the jealously guarded secrets of Chinese Kung Fu masters, to the hard men of modern spec ops, warriors and allied strongmen have developed an amazing array of skills for generating inhuman strength.But these skills have been scattered far and wide, held closely secret, or communicated in a piecemeal fashion that has left most of us frustrated and far from reaching our true strength potential.Now, for the first time, Russian strength expert and former Spetsnaz instructor Pavel has gathered many of these devastating techniques into one highly teachable skill set. In The Naked Warrior Pavel reveals exactly what it takes to be super-strong in minimum time-when your body is your only tool.",9780938045557,['Health & Fitness'],5.0,2,http://books.google.com/books/content?id=WzI6NQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1759,The Naked Ape,['Desmond Morris'],Delta,1999,"Examines sex, child rearing, fighing, feeding habits, and exploration of man in an attempt to establish bonds with the animal kingdom",9780385334303,['Science'],4.0,17,http://books.google.com/books/content?id=CS-GPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1760,There's No Toilet Paper... on the Road Less Traveled,['Doug Lansky'],Travelers' Tales,2005-01-01,"A compendium of humorous travel writing includes contributions from Bill Bryson, Steve Martin, Dave Barry, Art Buchwald, David Letterman, Paul Theroux, and others, presenting stories about everything from surviving in a nudist camp to learning how to use an ice-sheet outhouse in Antarctica. Original.",9781932361278,['Travel'],3,5,http://books.google.com/books/content?id=Bi0XAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
1761,Kitchen Confidential Updated Ed,['Anthony Bourdain'],Harper Collins,2007-01-09,"A deliciously funny, delectably shocking banquet of wild-but-true tales of life in the culinary trade from Chef Anthony Bourdain, laying out his more than a quarter-century of drugs, sex, and haute cuisine—now with all-new, never-before-published material",9780060899226,['Biography & Autobiography'],3.5,156,http://books.google.com/books/content?id=bxLbZ2kGddIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
1762,Searching for God Knows What,['Donald Miller'],Thomas Nelson Inc,2004,"Miller reveals how the inability to find redemption leads to chaotic relationships, self-hatred, the accumulation of meaningless material possessions, and a lack of inner peace.",9780785263715,['Religion'],4.0,39,http://books.google.com/books/content?id=Hw4gWVAoz8kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
