,title,authors,publisher,published_date,description,ISBN13,categories,google_rating,google_ratings_count,book_cover_url,language
671,Man's Search for Meaning,"['Viktor E. Frankl', 'Ilse Lasch', 'Harold S. Kushner']",Beacon Press (MA),2006-01-01,"This author's memoir has riveted generations of readers with its descriptions of life in Nazi death camps and its lessons for spiritual survival. Based on his own experience and the stories of his patients, he argues that we cannot avoid suffering but we can choose how to cope with it, find meaning in it, and move forward. At the heart of his theory, known as logotherapy, is a conviction that the primary human drive is not pleasure but the pursuit of what we find meaningful. This book has become one of the most influential books in America; it continues to inspire us all to find significance in the very act of living.",9780807014295,['Biography & Autobiography'],4.0,3383,http://books.google.com/books/content?id=kDOlPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
672,Man's Search for Meaning,['Viktor Emil Frankl'],Beacon Press,1992,"Man's Search for Meaning has riveted generations of readers with its descriptions of life in Nazi death camps and its lessons for spiritual survival. Between 1942 and 1945 psychiatrist Viktor Frankl labored in four different camps, including Auschwitz, while his parents, brother, and pregnant wife perished. Based on his own experience and the stories of his many patients, Frankl argues that we cannot avoid suffering but we can choose how to cope with it, find meaning in it, and move forward with renewed purpose. Frankl's theory—known as logotherapy, from the Greek word logos (""meaning"")—holds that our primary drive in life is not pleasure, as Freud maintained, but the discovery and pursuit of what we personally find meaningful. ""What man actually needs,"" Frankl writes, ""is not a tensionless state but rather the striving and struggling for a worthwhile goal, a freely chosen task . . . the call of a potential meaning waiting to be fulfilled by him."" In the decades since its first publication in 1959, Man's Search for Meaning has become a classic, with more than twelve million copies in print around the world. A 1991 Library of Congress survey that asked readers to name a ""book that made a difference in your life"" found Man's Search for Meaning among the ten most influential books in America. At once a memoir, a meditation, a treatise, and a history, it continues to inspire us all to find significance in the very act of living. ""One of the great books of our time."" ¯Harold S. Kushner, author of When Bad Things Happen to Good People ""One of the outstanding contributions to psychological thought in the last fifty years."" ¯Carl R. Rogers (1959) ""One of the ten most influential books in America."" —Library of Congress/Book-of-the-Month Club Survey of Lifetime Readers Born in Vienna in 1905, Viktor E. Frankl earned an M.D. and a Ph.D. from the University of Vienna. He published more than thirty books on theoretical and clinical psychology and served as a visiting professor and lecturer at Harvard, Stanford, and elsewhere. In 1977 a fellow survivor, Joseph Fabry, founded the Viktor Frankl Institute of Logotherapy. Frankl died in 1997. Harold S. Kushner is rabbi emeritus at Temple Israel in Natick, Massachusetts, and the author of several best-selling books, including When Bad Things Happen to Good People, Living a Life That Matters, and When All You've Ever Wanted Isn't Enough. William J. Winslade is a philosopher, lawyer, and psychoanalyst who teaches at the University of Texas Medical Branch in Galveston and the University of Houston Law Center.",9780807014264,['PSYCHOLOGY'],4.5,35,http://books.google.com/books/content?id=K2AvZmco3E0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
673,In Search of Memory,['Eric R. Kandel'],W W Norton & Company Incorporated,2006,KANDEL/IN SEARCH OF MEMORY,9780393058635,['Science'],4.0,5,http://books.google.com/books/content?id=aARlQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
674,The Great Good Place,['Ray Oldenburg'],Da Capo Press,1999-08-18,"The landmark survey that celebrates all the places where people hang out--and is helping to spawn their revival A New York Times Book Review Editor's Choice ""Third places,"" or ""great good places,"" are the many public places where people can gather, put aside the concerns of home and work (their first and second places), and hang out simply for the pleasures of good company and lively conversation. They are the heart of a community's social vitality and the grassroots of a democracy. Author Ray Oldenburg portrays, probes, and promotes th4ese great good places--coffee houses, cafes, bookstores, hair salons, bars, bistros, and many others both past and present--and offers a vision for their revitalization. Eloquent and visionary, this is a compelling argument for these settings of informal public life as essential for the health both of our communities and ourselves. And its message is being heard: Today, entrepreneurs from Seattle to Florida are heeding the call of The Great Good Place--opening coffee houses, bookstores, community centers, bars, and other establishments and proudly acknowledging their indebtedness to this book.",9781569246818,['Social Science'],4.0,2,http://books.google.com/books/content?id=-fvvchfSB5wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
675,Built to Last,"['Jim Collins', 'Jerry I. Porras']",Harper Collins,2004-11-02,"""This is not a book about charismatic visionary leaders. It is not about visionary product concepts or visionary products or visionary market insights. Nor is it about just having a corporate vision. This is a book about something far more important, enduring, and substantial. This is a book about visionary companies."" So write Jim Collins and Jerry Porras in this groundbreaking book that shatters myths, provides new insights, and gives practical guidance to those who would like to build landmark companies that stand the test of time. Drawing upon a six-year research project at the Stanford University Graduate School of Business, Collins and Porras took eighteen truly exceptional and long-lasting companies -- they have an average age of nearly one hundred years and have outperformed the general stock market by a factor of fifteen since 1926 -- and studied each company in direct comparison to one of its top competitors. They examined the companies from their very beginnings to the present day -- as start-ups, as midsize companies, and as large corporations. Throughout, the authors asked: ""What makes the truly exceptional companies different from other companies?"" What separates General Electric, 3M, Merck, Wal-Mart, Hewlett-Packard, Walt Disney, and Philip Morris from their rivals? How, for example, did Procter & Gamble, which began life substantially behind rival Colgate, eventually prevail as the premier institution in its industry? How was Motorola able to move from a humble battery repair business into integrated circuits and cellular communications, while Zenith never became dominant in anything other than TVs? How did Boeing unseat McDonnell Douglas as the world's best commercial aircraft company -- what did Boeing have that McDonnell Douglas lacked? By answering such questions, Collins and Porras go beyond the incessant barrage of management buzzwords and fads of the day to discover timeless qualities that have consistently distinguished out-standing companies. They also provide inspiration to all executives and entrepreneurs by destroying the false but widely accepted idea that only charismatic visionary leaders can build visionary companies. Filled with hundreds of specific examples and organized into a coherent framework of practical concepts that can be applied by managers and entrepreneurs at all levels, Built to Last provides a master blueprint for building organizations that will prosper long into the twenty-first century and beyond.",9780060566104,['Business & Economics'],3.5,7,http://books.google.com/books/content?id=lRNtHbvDgRgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
676,I Like You,['Amy Sedaris'],Grand Central Pub,2006,"Offers a guide to the art of entertaining, furnishing recipes, helpful advice, and offbeat tips on how to host parties with extraordinary flair, covering such topics as unique dishes to serve alcoholics and arts and crafts ideas.",9780446578844,['Cooking'],4.0,38,http://books.google.com/books/content?id=n_nAlgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
677,Bringing Down the House,['Ben Mezrich'],Random House,2004,"Real-life all too rarely offers stories that are quite as satisfying as fiction. BRINGING DOWN THE HOUSE is one of the exceptions. Cheating in casinos is illegal; card-counting - making a record of what cards have so far been dealt to enable the player to make some prediction of what cards remain in the deck- is not. But casinos understandably dislike the practice and make every effort to keep card-counters out of their premises, banning them and using private detectives to share information on suspected and known counters. BRINGING DOWN THE HOUSE tells the true story of the most successful scam ever, In which teams of brilliant young mathematicians and physicists won millions of dollars from the casinos of Las Vegas, being drawn in the process into the high-life of drugs, high-spending and sex. BRINGING DOWN THE HOUSE is as readable and as fascinating as LIAR'S POKER or BARBARIANS AT THE GATE, an insight into a closed, excessive and utterly corrupt world.",9780099468233,['True Crime'],3.5,50,http://books.google.com/books/content?id=VsB-H-ky8JIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
678,Read for Your Life,"['Pat Williams', 'Peggy Matthews Rose']","Health Communications, Inc.",2007-06,"With anecdotes and interviews from some of today's greatest icons in business, sports, and academia, including Phoenix Suns' star Steve Nash, Yankees' star Alex Rodriguez, Grant Hill of the Orlando Magic, and former New York City mayor Rudy Guiliani, Read for Your Life will help readers discover how reading can enhance their lives personally and professionally.",9780757305450,['Literary Criticism'],4.5,2,http://books.google.com/books/content?id=JbujAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
679,The Final Season,['Tom Stanton'],Macmillan,2002-05-08,"In a memoir of fathers, sons, and the end of a baseball era, the author recounts an adventure that finishes with his realization that his anguish is not just about the loss of a beloved ballpark, Detroit's Tiger Stadium, but also about his own father's mortality. Reprint.",9780312291563,['Sports & Recreation'],5.0,1,http://books.google.com/books/content?id=iVRVCLatiUQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
680,The Cold Six Thousand,['James Ellroy'],Vintage,2002,"Wayne Tedrow, Jr., a young Vegas policeman with $6,000 in cash, is drawn unwittingly into a conspiracy involving the cover-up of the truth about the assassination of John Kennedy.",9780375727405,['Fiction'],4.0,11,http://books.google.com/books/content?id=3ZSODQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
